id,value
15180, 1.099E+03
15004, 1.491E+03
15026, 1.454E+03
15043, 1.483E+03
15050, 1.413E+03
15060, 1.515E+03
15067, 1.444E+03
15075, 1.370E+03
15076, 1.549E+03
15081, 1.297E+03
15082, 1.478E+03
15091, 1.403E+03
15094, 1.583E+03
15099, 1.326E+03
15100, 1.514E+03
15105, 1.251E+03
15107, 1.440E+03
15115, 1.361E+03
15119, 1.552E+03
15123, 1.282E+03
15125, 1.480E+03
15131, 1.402E+03
15133, 1.208E+03
15140, 1.320E+03
15143, 1.521E+03
15147, 1.447E+03
15149, 1.240E+03
15159, 1.365E+03
15161, 1.562E+03
15162, 1.167E+03
15166, 1.280E+03
15167, 1.493E+03
15169, 1.117E+03
15175, 1.414E+03
15176, 1.199E+03
15184, 1.329E+03
15185, 1.538E+03
15188, 1.131E+03
15193, 1.466E+03
15194, 1.242E+03
15198, 1.090E+03
15201, 1.384E+03
15206, 1.160E+03
15212, 1.517E+03
15213, 1.296E+03
15215, 1.104E+03
15220, 1.443E+03
15223, 1.206E+03
15228, 1.358E+03
15233, 1.133E+03
15239, 1.499E+03
15241, 1.266E+03
15245, 1.104E+03
15247, 1.423E+03
15251, 1.174E+03
15256, 1.336E+03
15261, 1.131E+03
15265, 1.488E+03
15269, 1.240E+03
15275, 1.410E+03
15279, 1.166E+03
15285, 1.320E+03
15293, 1.483E+03
15297, 1.220E+03
15302, 1.404E+03
15315, 1.311E+03
15321, 1.489E+03
15329, 1.407E+03
15346, 1.504E+03
15360, 1.422E+03
15376, 1.526E+03
15229, 1.563E+03
15255, 1.552E+03
15283, 1.550E+03
15303, 1.604E+03
15311, 1.557E+03
15332, 1.614E+03
15339, 1.571E+03
15352, 1.654E+03
15362, 1.632E+03
15368, 1.596E+03
15382, 1.674E+03
15390, 1.663E+03
15397, 1.629E+03
15413, 1.702E+03
15418, 1.708E+03
15425, 1.674E+03
15435, 1.722E+03
15441, 1.742E+03
15450, 1.755E+03
15465, 1.749E+03
15472, 1.787E+03
15497, 1.777E+03
15521, 1.742E+03
15551, 1.728E+03
15027, 1.401E+03
15046, 1.419E+03
15055, 1.380E+03
15066, 1.433E+03
15074, 1.404E+03
15079, 1.349E+03
15084, 1.283E+03
15086, 1.449E+03
15093, 1.427E+03
15102, 1.312E+03
15109, 1.449E+03
15120, 1.460E+03
15127, 1.271E+03
15139, 1.464E+03
15151, 1.470E+03
15156, 1.229E+03
15158, 1.158E+03
15171, 1.491E+03
15182, 1.187E+03
15183, 1.121E+03
15189, 1.499E+03
15205, 1.516E+03
15209, 1.089E+03
15210, 1.139E+03
15221, 1.534E+03
15235, 1.096E+03
15236, 1.550E+03
15237, 1.540E+03
15252, 1.533E+03
15254, 1.572E+03
15267, 1.575E+03
15273, 1.581E+03
15294, 1.590E+03
15299, 1.618E+03
15312, 1.621E+03
15319, 1.592E+03
15331, 1.644E+03
15343, 1.590E+03
15349, 1.666E+03
15375, 1.673E+03
15380, 1.693E+03
15399, 1.650E+03
15405, 1.731E+03
15409, 1.696E+03
15446, 1.657E+03
15454, 1.715E+03
17892, 1.358E+03
17893, 1.311E+03
17894, 1.388E+03
17895, 1.348E+03
17896, 1.411E+03
17897, 1.379E+03
17898, 1.508E+03
17900, 1.424E+03
17901, 1.487E+03
17902, 1.500E+03
17903, 1.446E+03
17905, 1.438E+03
17907, 1.301E+03
17908, 1.234E+03
17909, 1.327E+03
17910, 1.274E+03
17911, 1.392E+03
17914, 1.406E+03
17915, 1.499E+03
17916, 1.508E+03
17919, 1.271E+03
17920, 1.225E+03
17921, 1.193E+03
17925, 1.480E+03
17926, 1.440E+03
17927, 1.369E+03
17928, 1.321E+03
15226, 1.083E+03
15257, 1.094E+03
15276, 1.111E+03
15288, 1.118E+03
